Regions code,Regions label,Migration Region (inflow) (6 categories) code,Migration Region (inflow) (6 categories) label,Ethnic group (6 categories) code,Ethnic group (6 categories) label,National Statistics Socio-economic Classification (NS-SeC) (10 categories) code,National Statistics Socio-economic Classification (NS-SeC) (10 categories) label,Count
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,93
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,280
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,209
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,426
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,-8,Does not apply,2640
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3207
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",4289
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,3,L7: Intermediate occupations,2135
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,4,L8 and L9: Small employers and own account workers,2111
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,5,L10 and L11: Lower supervisory and technical occupations,964
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,6,L12: Semi-routine occupations,1726
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,7,L13: Routine occupations,3609
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,1680
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,4,White,9,L15: Full-time students,4240
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,-8,Does not apply,1154
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",403
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",299
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,3,L7: Intermediate occupations,153
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,4,L8 and L9: Small employers and own account workers,236
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,78
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,6,L12: Semi-routine occupations,127
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,7,L13: Routine occupations,348
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,1112
E12000002,North West,5,Inflow: lived elsewhere one year ago outside the UK,5,Other ethnic group,9,L15: Full-time students,1192
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,-8,Does not apply,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,White,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,-8,Does not apply,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Other ethnic group,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,117159
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",25504
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",35663
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,27771
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,36742
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,10705
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,28267
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,34268
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,67996
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,44244
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,25840
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",5017
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",11073
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,5977
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,4533
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,2619
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,9956
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,11366
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,8976
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,10928
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,-8,Does not apply,45079
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4983
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",8467
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,5015
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,3593
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,2259
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,5625
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,6090
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,5656
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,8864
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,-8,Does not apply,674282
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",390165
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",680611
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,3,L7: Intermediate occupations,411842
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,4,L8 and L9: Small employers and own account workers,345822
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,5,L10 and L11: Lower supervisory and technical occupations,226655
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,6,L12: Semi-routine occupations,445120
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,7,L13: Routine occupations,537009
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,297844
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,4,White,9,L15: Full-time students,166457
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,-8,Does not apply,17847
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3921
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",4574
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,3,L7: Intermediate occupations,2573
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,4,L8 and L9: Small employers and own account workers,5213
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,2028
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,6,L12: Semi-routine occupations,3444
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,7,L13: Routine occupations,6525
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,11716
E12000003,Yorkshire and The Humber,1,Lived at the same address one year ago,5,Other ethnic group,9,L15: Full-time students,6899
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",-8,Does not apply,6683
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2619
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2979
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,1908
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,1699
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,718
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,1886
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,1835
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,3051
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,7200
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,2450
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",743
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1035
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,658
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,400
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,269
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,1018
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,1283
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,1037
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,2775
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,-8,Does not apply,4264
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",790
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1430
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,814
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,419
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,304
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,804
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,819
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,604
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,9,L15: Full-time students,2999
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,-8,Does not apply,56524
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",33524
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",58607
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,3,L7: Intermediate occupations,32562
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,4,L8 and L9: Small employers and own account workers,22661
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,5,L10 and L11: Lower supervisory and technical occupations,17255
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,6,L12: Semi-routine occupations,32484
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,7,L13: Routine occupations,39524
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,17306
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,9,L15: Full-time students,53506
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,-8,Does not apply,1628
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",513
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",508
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,3,L7: Intermediate occupations,294
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,4,L8 and L9: Small employers and own account workers,426
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,222
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,6,L12: Semi-routine occupations,334
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,7,L13: Routine occupations,760
E12000003,Yorkshire and The Humber,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,1329
